START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
1,Cue,1,126,82402F2E-7764-4A2C-AA47-BAFB66A676C8,2,,1,0.5,,,,,,,,,1.5,,,,,,,,,,,,,,,,
1,Cue,1,126,82402F2E-7764-4A2C-AA47-BAFB66A676C8,3,,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,
1,Cue,1,126,82402F2E-7764-4A2C-AA47-BAFB66A676C8,4,,1,1.5,,,,,,,,,2.5,,,,,,,,,,,,,,,,
1,Cue,1,126,82402F2E-7764-4A2C-AA47-BAFB66A676C8,6,,1,2,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,126,82402F2E-7764-4A2C-AA47-BAFB66A676C8,7,,1,2.5,,,,,,,,,3.5,,,,,,,,,,,,,,,,
1,Cue,1,127,E84E93CB-A111-46F3-81DC-83B9F6E1CA43,,,3,,,,,,,,,,3,M,,,,,,,,,,,E1 ,,,,
1,Cue,1,128,3F416B1B-8013-4EB1-BE02-7971B6601DEF,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,129,6ECE411A-29AB-40B9-B8BF-C0E2F0FFA7C1,,,1,,,,,,,,,,1,M,b,,,,,,,,,,,,,,
1,Cue,1,130,A73D14C9-CDE5-49A8-986B-B9DC7235DBEF,,,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
1,Cue,1,131,2A7AA27C-7ADE-4850-9E0B-BB5B4ED8296F,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
1,Cue,1,132,334D264A-A639-4E3A-BF8A-EB5C9573006A,,,5,,,,,,,,,,10,M,,,,,,,,,,,,,,,
1,Cue,1,133,C098AC86-A5B3-493C-9CBB-9E00DFCA19CF,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,134,080659FC-658B-4A9A-A6A5-E0C3E5313F4D,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,135,977A9733-74E0-4113-B2E8-E0731338E31A,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
1,Cue,1,136,DFE64862-B01C-49CB-BE2A-95EAF38EB006,,,0,,,,,,,,,,0,,,,,,F1,,,,,,,,,,
1,Cue,1,137,85DED20E-F84B-4790-B342-108B7C3D06CB,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,138,804527C9-BCB3-4749-A2DD-8F985C7AD25B,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,139,08D520E2-9D36-49C6-92E5-AAA9D5177D9A,,,1,,,,,,,,,,1,,,,,,,,,,,,E1 ,,,,
1,Cue,1,140,3C9FFBE7-02DB-47FC-9705-2751C4149BF9,,,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
